Materials.Id,Formula,Spacegroup,Formation.Energy..eV.,E.Above.Hull..eV.,Band.Gap..eV.,Nsites,Density..gm.cc.,Volume,Has.Bandstructure,Crystal.System
mp-779191,licosio4,pbn21,-2.365,0.07,1.527,28,3.029,346.421,FALSE,orthorhombic
mp-763386,li2co2si2o7,c2cm,-2.453,0.072,2.84,26,3.579,278.304,TRUE,orthorhombic
mp-763376,li2co(si2o5)2,p212121,-2.858,0.075,3.273,68,2.37,967.213,TRUE,orthorhombic
mp-763406,li2co2(sio3)3,pnma,-2.591,0.076,2.744,64,2.658,899.635,TRUE,orthorhombic
mp-762722,licosio4,p21nb,-2.353,0.082,1.411,28,3.112,337.098,TRUE,orthorhombic
mp-762892,licosio4,pcmn,-2.352,0.083,0.77,28,3.736,280.858,TRUE,orthorhombic
mp-763260,licosio4,pc21n,-2.352,0.083,1.367,28,2.935,357.496,TRUE,orthorhombic
mp-762888,licosio4,cmcm,-2.351,0.084,0.871,14,3.762,139.432,TRUE,orthorhombic
mp-779192,licosio4,p21nb,-2.351,0.084,1.323,28,3,349.762,TRUE,orthorhombic
mp-763360,li2co2(sio3)3,pnma,-2.574,0.094,2.842,64,3.249,735.894,TRUE,orthorhombic
mp-762860,licosio4,pcmn,-2.339,0.097,0.736,28,3.605,291.06,TRUE,orthorhombic
mp-762247,licosio4,p212121,-2.327,0.109,0.702,28,3.203,327.583,TRUE,orthorhombic
mp-762883,licosio4,imcm,-2.291,0.144,0.511,14,4.15,126.395,TRUE,orthorhombic
mp-763534,li2co2sio6,ccme,-2.012,0.19,0.717,22,3.927,216.338,TRUE,orthorhombic
mp-767711,li2mn2si4o11,p1,-2.904,0.012,0.904,38,3.098,441.742,TRUE,triclinic
mp-868265,li2mn4si4o13,p1,-2.755,0.019,2.346,46,3.481,528.536,TRUE,triclinic
mp-761470,li2mn2si5o13,p1,-2.946,0.02,3.286,44,3.009,521.131,TRUE,triclinic
mp-868673,li15mn15sio32,p1,-2.194,0.028,0.311,63,4.093,595.723,FALSE,triclinic
mp-761381,li2mn5(si2o7)2,p1,-2.69,0.031,0,25,3.434,302.156,TRUE,triclinic
mp-766967,li2mn3(si3o8)2,p1,-2.894,0.043,2.865,54,3.012,665.118,TRUE,triclinic
mp-767443,li2mn5si5o16,p1,-2.736,0.045,2.164,28,2.985,381.117,TRUE,triclinic
mp-850240,li2mn3(sio4)2,p1,-2.61,0.05,2.045,45,3.062,590.331,TRUE,triclinic
mp-850159,li2mn(si2o5)2,p1,-2.958,0.054,3.036,34,2.633,430.361,TRUE,triclinic
mp-761439,limn(sio3)2,p1,-2.801,0.059,0.714,80,3.314,858.022,TRUE,triclinic
mp-768071,li5mn17(sio16)2,p1,-2.172,0.059,0.348,56,4.201,607.507,TRUE,triclinic
mp-761417,li2mn2si4o11,p1,-2.847,0.069,0,38,2.897,472.42,TRUE,triclinic
mp-868526,li9mn5(sio8)2,p1,-2.372,0.07,1.154,32,3.706,290.951,TRUE,triclinic
mp-767282,li2mnsi3o8,p1,-2.872,0.082,2.655,14,2.497,186.943,TRUE,triclinic
mp-761967,limnsi3o8,p1,-2.868,0.09,1.055,26,2.963,307.264,FALSE,triclinic
mp-767982,li3mn2(sio4)2,p1,-2.605,0.09,0,15,2.938,177.985,TRUE,triclinic
mp-761430,li7mn11(si3o16)2,p1,-2.439,0.092,0.361,56,3.909,566.407,FALSE,triclinic
mp-780147,limnsio4,p1,-2.58,0.098,0.995,28,3.294,310.44,TRUE,triclinic
mp-767274,li3mnsi2o7,p1,-2.68,0.099,1.161,13,2.709,149.499,TRUE,triclinic
mp-780196,limnsio4,p1,-2.577,0.1,0.409,28,2.984,342.663,TRUE,triclinic
mp-761735,li2fe2si4o11,p1,-2.837,0.013,1.892,38,3.189,431.059,TRUE,triclinic
mp-765915,life(sio3)2,p1,-2.791,0.03,3.056,20,2.2,324.509,TRUE,triclinic
mp-868566,life(sio3)2,p1,-2.79,0.031,2.427,30,3.193,335.392,TRUE,triclinic
mp-761402,li2fe5(si2o7)2,p1,-2.563,0.031,0,25,3.492,299.319,TRUE,triclinic
mp-761459,lifesi3o8,p1,-2.896,0.032,3.342,26,2.76,330.953,FALSE,triclinic
mp-761705,li2fe4si4o13,p1,-2.632,0.032,3.118,46,3.599,514.551,FALSE,triclinic
mp-761475,li2fe2si5o13,p1,-2.875,0.034,3.394,44,3.086,510.174,TRUE,triclinic
mp-773691,life(sio3)2,p1,-2.785,0.036,2.596,80,3.251,878.288,FALSE,triclinic
mp-767996,li3fe2(sio4)2,p1,-2.585,0.039,1.626,15,2.951,178.21,TRUE,triclinic
mp-761820,lifesi3o8,p1,-2.886,0.041,3.16,26,2.703,337.873,TRUE,triclinic
mp-767726,li2fe2si3o10,p1,-2.694,0.044,2.325,34,2.821,435.364,TRUE,triclinic
mp-763810,li17fe6(si2o7)6,p1,-2.691,0.046,0,77,2.868,846.546,FALSE,triclinic
mp-767707,li2fe5si5o16,p1,-2.62,0.049,2.117,28,3.101,369.232,TRUE,triclinic
mp-761382,li2fe3(si3o8)2,p1,-2.817,0.05,2.826,54,3.088,651.656,TRUE,triclinic
mp-762716,li2fe3(sio4)2,p1,-2.482,0.051,2.23,45,3.204,568.378,TRUE,triclinic
mp-780681,life3(sio4)2,p1,-2.468,0.058,0.631,42,3.133,570.329,TRUE,triclinic
mp-763739,li3fe2(sio4)2,p1,-2.565,0.059,1.14,15,3.034,173.298,TRUE,triclinic
mp-761622,li7fe7sio16,p1,-2.144,0.06,1.955,31,3.232,371.739,TRUE,triclinic
mp-768001,li6fe(sio4)2,p1,-2.595,0.063,3.736,17,2.678,174.618,TRUE,triclinic
mp-772589,li2fe(si2o5)2,p1,-2.911,0.064,3.079,34,2.633,431.422,FALSE,triclinic
mp-764102,li3fe2(sio4)2,p1,-2.558,0.066,0.931,30,2.911,361.337,TRUE,triclinic
mp-761513,lifesi3o8,p1,-2.859,0.068,2.413,26,2.896,315.39,FALSE,triclinic
mp-850922,li3fe2(sio4)2,p1,-2.555,0.069,1.854,15,2.925,179.798,TRUE,triclinic
mp-762655,lifesio4,p1,-2.551,0.071,2.292,28,2.969,346.461,TRUE,triclinic
mp-763637,li4fe2sio7,p1,-2.356,0.071,1.851,14,3.787,122.581,TRUE,triclinic
mp-767328,li5fe5si7o24,p1,-2.647,0.072,2.373,41,2.501,593.87,TRUE,triclinic
mp-868319,li5fe5si7o24,p1,-2.646,0.072,2.598,41,2.546,583.402,TRUE,triclinic
mp-863852,li5fe5si7o24,p1,-2.646,0.073,2.391,41,2.55,582.533,TRUE,triclinic
mp-772382,li2fesi3o8,p1,-2.833,0.076,3.041,14,2.524,185.499,TRUE,triclinic
mp-766744,li2fe2si4o11,p1,-2.768,0.081,0,38,2.958,464.73,TRUE,triclinic
mp-779820,li3fe4(si3o10)2,p1,-2.633,0.082,0.054,33,2.777,438.109,TRUE,triclinic
mp-868418,li2fesi3o8,p1,-2.826,0.082,0,28,2.507,373.616,TRUE,triclinic
mp-773385,li3fesio5,p1,-2.486,0.083,2.254,20,3.575,171.619,TRUE,triclinic
mp-767276,li5fe5si7o24,p1,-2.635,0.084,1.827,41,2.433,610.604,TRUE,triclinic
mp-762704,li4fe(sio4)2,p1,-2.543,0.089,0.232,15,2.781,159.895,FALSE,triclinic
mp-767753,li2fe2si8o19,p1,-2.927,0.091,3.508,31,2.776,391.367,TRUE,triclinic
mp-762705,li3fesio5,p1,-2.474,0.094,2.173,20,3.615,169.712,TRUE,triclinic
mp-762768,li9fe4(sio5)4,p1,-2.391,0.094,0.005,37,2.617,455.754,FALSE,triclinic
mp-778793,li4fe3(sio4)3,p1,-2.524,0.099,0.976,22,3.031,258.368,TRUE,triclinic
mp-761351,li2fe(si2o5)3,p1,-2.882,0.104,0.189,24,2.624,302.599,FALSE,triclinic
mp-761343,li16fe4sio16,p1,-2.132,0.106,2.139,37,2.668,384.899,TRUE,triclinic
mp-762762,life2(sio4)2,p1,-2.426,0.114,0,39,2.753,547.911,FALSE,triclinic
mp-761348,li7fe7sio16,p1,-2.087,0.118,1.492,31,3.233,371.607,TRUE,triclinic
mp-763462,li2co3(sio4)2,p1,-2.343,0.024,2.47,45,3.408,547.959,TRUE,triclinic
mp-762851,li3co2(sio4)2,p1,-2.441,0.055,0.376,15,3.088,173.602,TRUE,triclinic
mp-764452,li3co2(sio4)2,p1,-2.439,0.057,0.23,15,3.024,177.312,TRUE,triclinic
mp-770682,li2co(si2o5)2,p1,-2.862,0.07,3.06,34,2.74,418.368,TRUE,triclinic
mp-764961,li6co(sio4)2,p1,-2.545,0.071,2.685,17,2.753,171.772,TRUE,triclinic
mp-849520,lico3(sio4)2,p1,-2.25,0.076,0.005,42,3.318,552.402,TRUE,triclinic
mp-849656,li5co4(si3o10)2,p1,-2.529,0.082,0.176,35,2.94,428.648,TRUE,triclinic
mp-763557,licosio4,p1,-2.348,0.087,1.333,14,2.451,214.044,TRUE,triclinic
mp-767320,li3co2(sio4)2,p1,-2.406,0.09,0.323,15,3.043,176.207,FALSE,triclinic
